downsample,survival,pop_size,num_generations_before_success,total_time,time_per_generation
8,0.2,50,60,1670.9350941181183,27.848918235301973
8,0.2,100,7,465.58556604385376,66.51222372055054
8,0.2,200,54,6602.0864934921265,122.26086099059494
8,0.2,400,17,4651.356085777283,273.60918151631074
8,0.05,100,25,1503.7359211444855,60.14943684577942
8,0.2,50,199,5455.967137098312,27.416920286926192
8,0.2,75,199,7972.111244916916,40.06086052722068
8,0.2,100,29,1809.5176348686218,62.39715982305592
8,0.2,50,199,5013.035627603531,25.191133807052918
8,0.2,75,12,549.7154636383057,45.8096219698588
8,0.2,100,68,3970.761496067047,58.393551412750696
8,0.2,50,199,5291.116636276245,26.588525810433392
8,0.2,75,199,7855.032029867172,39.472522763151616
8,0.2,100,33,2090.8807792663574,63.36002361413205
